bourbon,22
query_reviewer,22
cmdparse,22
heroscale,22
acts_as_markup,22
binarylogic-authlogic,22
nest,22
tolk,22
rubypants,22
cocoon,22
mattetti-googlecharts,22
super_exception_notifier,22
themes_for_rails,22
mixlib-config,22
block_helpers,22
portablecontacts,22
notifier,22
base62,22
sentient_user,22
capybara-webkit,22
locomotive_cms,22
analytical,22
runt,22
rack-offline,22
brnumeros,22
ruby-odbc,22
gchart,21
doc_raptor,21
mixlib-cli,21
fgraph,21
brstring,21
netaddr,21
collectiveidea-money,21
devise_openid_authenticatable,21
calendar_helper,21
rack-perftools_profiler,21
active_reload,21
map_by_method,21
gbarcode,21
mm-multi-parameter-attributes,21
websolr-rails,21
restfulie,21
yelp,21
mover,21
deadlock_retry,21
deprecated,21
acts_as_taggable_on_steroids,21
dm-serializer,21
jdbc-mysql,21
disqus,21
mongo_session_store,21
wand,21
josevalim-inherited_resources,21
active_presenter,21
sunspot_mongoid,21
brdinheiro,21
lesstile,21
datanoise-actionwebservice,21
backports,20
tabletastic,20
central_logger,20
acts-as-list,20
also_migrate,20
Selenium,20
randexp,20
numerizer,20
defensio,20
metrical,20
foursquare2,20
brcep,20
is_taggable,20
cobravsmongoose,20
mongoid-tree,20
csv-mapper,20
bj,20
tripwire_notifier,20
gritter,20
open_gem,20
switch_user,20
racc,20
time_diff,20
gmail,20
railroad,20
rack-mobile-detect,20
cassandra,20
highrise,20
mixlib-authentication,20
rails_code_qa,20
warden_oauth,20
XMLCanonicalizer,19
possessive,19
stateflow,19
css3buttons,19
big_sitemap,19
em-hiredis,19
geo_ip,19
csv_builder,19
factory_girl_generator,19
broach,19
profanity_filter,19
brdata,19
dbd-odbc,19
fleximage,19
simple_enum,19
enumerate_it,19
color-tools,19
mongoid_taggable,19
browsercms,19
echoe,19
google_visualr,19
authlogic-connect,19
chef,19
rails-backbone,19
yfactorial-utility_scopes,19
rsolr-ext,19
blockenspiel,19
authlogic-oauth,19
ruby-aws,19
text-format,18
validates_url_format_of,18
validate_url,18
posix-spawn,18
rubber,18
rails_xss,18
rails-i18n,18
apotomo,18
tweet-button,18
km,18
radius,18
png,18
duration,18
paranoia,18
rghost_barcode,18
lorem,18
onfire,18
sunspot_with_kaminari,18
resque-exceptional,18
brhelper,18
do_mysql,18
activerecord-jdbcmysql-adapter,18
sentry,18
jasmine-core,18
facebook_oauth,18
nettica,18
hipchat,18
what_methods,18
mperham-deadlock_retry,18
cache-money,18
markaby,18
html_truncator,18
ohai,18
metaclass,18
dm-transactions,18
resque-meta,18
methodize,17
scout,17
simple_record,17
princely,17
remit,17
rack-raw-upload,17
evergreen,17
profanalyzer,17
rsl-stringex,17
s4t-utils,17
simple_captcha,17
gnumarcelo-campaigning,17
dm-constraints,17
xml-mapping,17
laserlemon-vestal_versions,17
formtastic_datepicker_inputs,17
flickraw-cached,17
gsl,17
ruby-debug-ide,17
base58,17
rack-canonical-host,17
renum,17
maildir,17
tobi-delayed_job,17
user-choices,17
ekuseru,17
bert,17
relax,17
autotest-rails-pure,17
text-reform,17
globalize2,17
rinku,17
gabba,17
alexvollmer-daemon-spawn,17
deep_cloneable,17
refinerycms-theming,17
ranked-model,16
navvy,16
spreadsheet-excel,16
user-agent,16
sanitize-url,16
rubyzip2,16
packr,16
lighthouse-api,16
ts-resque-delta,16
dm-mysql-adapter,16
respondie,16
best_in_place,16
table_builder,16
needle,16
giraffesoft-resource_controller,16
simplificator-rwebthumb,16
brazilian-rails,16
fixjour,16
coffee-filter,16
terminal-table,16
carrot,16
wikitext,16
syslog_protocol,16
joint,16
rack-oauth2-server,16
sketches,16
jruby-rack,16
simple_xlsx_writer,16
mysqlplus,16
ruby-units,16
rack-cors,16
nkallen-cache-money,16
mini_exiftool,16
chalofa_ruby-progressbar,16
rack-throttle,16
carrierwave-mongoid,16
starling-starling,16
minitest,16
enum_column,16
alchemist,16
optiflag,15
image_size,15
base32,15
app_config,15
nap,15
mongoid_embedded_helper,15
vidibus-routing_error,15
render_component,15
goalie,15
guard-coffeescript,15
log_buddy,15
mojombo-chronic,15
yahoo-weather,15
concerned_with,15
typed_serialize,15
on_the_spot,15
tidy_ffi,15
humanizer,15
postageapp,15
brI18n,15
feature_flipper,15
curb-fu,15
adyen,15
scrapi,15
rack-conneg,15
medie,15
ruby-saml,15
cached_model,15
ruby-plsql,15
puret,15
pdf-toolkit,15
sparklines,15
commonwatir,15
simpleconfig,15
panztel-actionwebservice,15
asset_packager,15
mongoid_adjust,15
rc-rest,15
mongo-rails-instrumentation,15
s3sync,15
postgres-pr,15
db2s3,15
rufus-mnemo,15
bond,15
acts_as_sanitiled,15
mailman,15
CFPropertyList,15
oyster,15
sham_rack,15
radiant,15
em-redis,14
ratom,14
firewatir,14
acts_as_restful_list,14
render_component_vho,14
myspaceid-sdk,14
dm-observer,14
rd_awesome_nested_set,14
tropo-webapi-ruby,14
honeypot-captcha,14
fuubar-cucumber,14
spawn,14
versionomy,14
g,14
pg_search,14
docsplit,14
actionwebservice,14
sg-ruby,14
automatic_foreign_key,14
statistics,14
app_constants,14
ruby-yadis,14
validate_email,14
restful_authentication,14
feedbag,14
validation_reflection-active_model,14
taf2-curb,14
blackbook,14
rfacebook,14
subdomain_routes,14
cannikin-gattica,14
classifier,14
fake_arel,14
do_postgres,14
websolr-acts_as_solr,14
google-geocode,14
instagram,14
by_star,14
authorize-net,14
brightbox,14
ghost,13
rjb,13
acts_as_audited_rails3,13
geo_location,13
girl_friday,13
sslrequirement,13
termios,13
delayed_job_mongo_mapper,13
idn,13
pauldix-sax-machine,13
web_translate_it,13
alexdunae-validates_email_format_of,13
net-ping,13
multi_db,13
jpmobile,13
coffeebeans,13
rbbcode,13
gdata19,13
amistad,13
nested_layouts,13
slugged,13
acts_as_singleton,13
peteonrails-vote_fu,13
