GemName,Usage (GS),Usage (NR),Downloads,% Usage (GS),% Usage (NR),% Downloads
feeds,1,1,328,0.001362398,0.0001321,4.56734E-05
spree_related_products,1,4,843,0.001362398,0.000528402,0.000117386
spree_email_to_friend,1,4,1437,0.001362398,0.000528402,0.0002001
spree_reviews,1,2,409,0.001362398,0.000264201,5.69525E-05
raspell,3,38,23365,0.004087193,0.005019815,0.003253532
thinking-sphinx-raspell,1,11,2247,0.001362398,0.001453104,0.00031289
rack-bridge,1,2,1893,0.001362398,0.000264201,0.000263597
canable,3,28,4102,0.004087193,0.003698811,0.000571196
validates_email_format_of,8,63,11929,0.010899183,0.008322325,0.00166109
acts_as_commentable_with_threading,4,34,4706,0.005449591,0.004491413,0.000655302
ckeditor,24,162,36999,0.032697548,0.021400264,0.00515204
rails_admin,29,195,4602,0.039509537,0.025759577,0.00064082
nori,3,117,36557,0.004087193,0.015455746,0.005090492
jferris-mocha,1,5,3337,0.001362398,0.000660502,0.000464671
rakismet,10,58,11780,0.013623978,0.007661823,0.001640343
scoped-search,3,7,3739,0.004087193,0.000924703,0.000520649
CFPropertyList,1,15,7365,0.001362398,0.001981506,0.001025562
dragonfly,23,343,112699,0.03133515,0.045310436,0.015693121
i18n-js,9,42,16892,0.01226158,0.005548217,0.002352179
ya2yaml,25,164,46881,0.034059946,0.021664465,0.00652809
faraday_middleware,3,580,174458,0.004087193,0.07661823,0.024292943
multi_json,9,2501,1095233,0.01226158,0.330383091,0.152509104
completeness-fu,2,10,2951,0.002724796,0.001321004,0.000410921
localized_country_select,9,28,3323,0.01226158,0.003698811,0.000462721
rails_config,15,71,18499,0.020435967,0.009379128,0.00257595
rpx_now,4,107,22106,0.005449591,0.014134742,0.003078218
coffee-script-source,2,634,388487,0.002724796,0.083751651,0.054096073
ajaxful_rating,4,43,17061,0.005449591,0.005680317,0.002375712
basic_active_model,2,1,881,0.002724796,0.0001321,0.000122678
closure-compiler,12,670,196464,0.016348774,0.088507266,0.027357237
globalize3,20,190,62889,0.027247956,0.025099075,0.008757173
